Date,Frame,Class2,Condition
May27-28,1,1,Moon
May27-28,5,1,Moon
May27-28,10,1,Moon
May27-28,15,1,Moon
May27-28,20,1,Moon
May27-28,25,1,Moon
May27-28,30,1,Moon
May27-28,35,1,Moon
May27-28,40,1,Moon
May27-28,45,1,Moon
May27-28,50,1,Moon
May27-28,55,1,Moon
May27-28,60,1,Moon
May27-28,65,1,Moon
May27-28,70,1,Moon
May27-28,75,1,Moon
May27-28,80,1,Moon
May27-28,85,1,Moon
May27-28,90,1,Moon
May27-28,95,1,Moon
May27-28,100,1,Moon
May27-28,105,1,Moon
May27-28,110,1,Moon
May27-28,115,1,Moon
May27-28,120,1,Moon
May27-28,125,1,Moon
May27-28,130,1,Moon
May27-28,135,1,Moon
May27-28,140,1,Moon
May27-28,145,1,Moon
May27-28,150,1,Moon
May27-28,155,1,Moon
May27-28,160,1,Moon
May27-28,165,1,Moon
May27-28,170,1,Moon
May27-28,175,1,Moon
May27-28,180,1,Moon
May27-28,185,1,Moon
May27-28,190,1,Moon
May27-28,195,1,Moon
May27-28,200,1,Moon
May27-28,205,1,Moon
May27-28,210,1,Moon
May27-28,215,1,Moon
May27-28,220,1,Moon
May27-28,225,1,Moon
May27-28,230,1,Moon
May27-28,235,1,Moon
May27-28,240,1,Moon
May27-28,245,1,Moon
May27-28,250,1,Moon
May27-28,255,1,Moon
May27-28,260,1,Moon
May27-28,265,1,Moon
May27-28,270,1,Moon
May27-28,275,1,Moon
May27-28,280,1,Moon
May27-28,285,1,Moon
May27-28,290,1,Moon
May27-28,295,1,Moon
May27-28,300,1,Moon
May27-28,305,1,Moon
May27-28,310,1,Moon
May27-28,315,1,Moon
May27-28,320,1,Moon
May27-28,325,1,Moon
May27-28,330,1,Moon
May27-28,335,1,Moon
May27-28,340,1,Moon
May27-28,345,1,Moon
May27-28,350,1,Moon
May27-28,355,1,Moon
May27-28,360,1,Moon
May27-28,365,1,Moon
May27-28,370,1,Moon
May27-28,375,1,Moon
May27-28,380,1,Moon
May27-28,385,1,Moon
May27-28,390,1,Moon
May27-28,395,1,Moon
May27-28,400,1,Moon
May27-28,405,1,Moon
May27-28,410,1,Moon
May27-28,415,1,Moon
May27-28,420,1,Moon
May27-28,425,1,Moon
May27-28,430,1,Moon
May27-28,435,1,Moon
May27-28,440,1,Moon
May27-28,445,1,Moon
May27-28,450,1,Moon
May27-28,455,1,Moon
May27-28,460,1,Moon
May27-28,465,1,Moon
May27-28,470,1,Moon
May27-28,475,1,Moon
May27-28,480,1,Moon
May27-28,485,1,Moon
May27-28,490,1,Moon
May27-28,495,1,Moon
May27-28,500,1,Moon
May27-28,505,1,Moon
May27-28,510,1,Moon
May27-28,515,1,Moon
May27-28,520,1,Moon
May27-28,525,1,Moon
May27-28,530,1,Moon
May27-28,535,1,Moon
May27-28,540,1,Moon
May27-28,545,1,Moon
May27-28,550,1,Moon
May27-28,555,1,Moon
May27-28,560,1,Moon
May27-28,565,1,Moon
May27-28,570,1,Moon
May27-28,575,1,Moon
May27-28,580,1,Moon
May27-28,585,1,Moon
May27-28,590,1,Moon
May27-28,595,1,Moon
May27-28,600,1,Moon
May27-28,605,1,Moon
May27-28,610,1,Moon
