Date,Frame,Class2,Condition
Apr02-03,0,1,Sunset/Moon
Apr02-03,5,1,Sunset/Moon
Apr02-03,10,1,Sunset/Moon
Apr02-03,15,1,Sunset/Moon
Apr02-03,20,1,Sunset/Moon
Apr02-03,25,1,Sunset/Moon
Apr02-03,30,1,Sunset/Moon
Apr02-03,35,1,Sunset/Moon
Apr02-03,40,1,Sunset/Moon
Apr02-03,45,1,Sunset/Moon
Apr02-03,50,1,Sunset/Moon
Apr02-03,55,1,Sunset/Moon
Apr02-03,60,1,Sunset/Moon
Apr02-03,65,1,Sunset/Moon
Apr02-03,70,1,Sunset/Moon
Apr02-03,75,1,Sunset/Moon
Apr02-03,80,1,Sunset/Moon
Apr02-03,85,1,Sunset/Moon
Apr02-03,90,1,Sunset/Moon
Apr02-03,95,1,Sunset/Moon
Apr02-03,100,1,Sunset/Moon
Apr02-03,105,1,Sunset/Moon
Apr02-03,110,1,Sunset/Moon
Apr02-03,115,1,Sunset/Moon
Apr02-03,120,1,Sunset/Moon
Apr02-03,125,1,Sunset/Moon
Apr02-03,130,1,Sunset/Moon
Apr02-03,135,1,Sunset/Moon
Apr02-03,140,1,Sunset/Moon
Apr02-03,145,1,Sunset/Moon
Apr02-03,150,1,Sunset/Moon
Apr02-03,155,1,Sunset/Moon
Apr02-03,160,1,Sunset/Moon
Apr02-03,165,1,Sunset/Moon
Apr02-03,170,1,Sunset/Moon
Apr02-03,175,1,Sunset/Moon
Apr02-03,180,1,Sunset/Moon
Apr02-03,185,1,Sunset/Moon
Apr02-03,190,1,Sunset/Moon
Apr02-03,195,1,Sunset/Moon
Apr02-03,200,1,Sunset/Moon
Apr02-03,205,1,Sunset/Moon
Apr02-03,210,1,Sunset/Moon
Apr02-03,215,1,Sunset/Moon
Apr02-03,220,1,Sunset/Moon
Apr02-03,225,1,Sunset/Moon
Apr02-03,230,1,Sunset/Moon
Apr02-03,235,1,Sunset/Moon
Apr02-03,240,1,Sunset/Moon
Apr02-03,245,1,Sunset/Moon
Apr02-03,250,1,Sunset/Moon
Apr02-03,255,1,Sunset/Moon
Apr02-03,260,1,Sunset/Moon
Apr02-03,265,1,Sunset/Moon
Apr02-03,270,1,Sunset/Moon
Apr02-03,275,1,Sunset/Moon
Apr02-03,280,1,Sunset/Moon
Apr02-03,285,1,Sunset/Moon
Apr02-03,290,1,Sunset/Moon
Apr02-03,295,1,Sunset/Moon
Apr02-03,300,1,Sunset/Moon
Apr02-03,305,1,Sunset/Moon
Apr02-03,310,1,Sunset/Moon
Apr02-03,315,1,Sunset/Moon
Apr02-03,320,1,Sunset/Moon
Apr02-03,325,1,Sunset/Moon
Apr02-03,330,1,Sunset/Moon
Apr02-03,335,1,Sunset/Moon
Apr02-03,340,1,Sunset/Moon
Apr02-03,345,1,Sunset/Moon
Apr02-03,350,1,Sunset/Moon
Apr02-03,355,1,Sunset/Moon
Apr02-03,360,1,Sunset/Moon
Apr02-03,365,1,Sunset/Moon
Apr02-03,370,1,Sunset/Moon
Apr02-03,375,1,Sunset/Moon
Apr02-03,380,1,Sunset/Moon
Apr02-03,385,1,Sunset/Moon
