Date,Frame,Class2,Condition
Apr05-06,10,1,Moon/cloud
Apr05-06,20,1,Moon/cloud
Apr05-06,30,1,Moon/cloud
Apr05-06,40,1,Moon/cloud
Apr05-06,50,1,Moon/cloud
Apr05-06,60,1,Moon/cloud
Apr05-06,70,1,Moon/cloud
Apr05-06,80,1,Moon/cloud
Apr05-06,90,1,Moon/cloud
Apr05-06,100,1,Moon/cloud
Apr05-06,110,1,Moon/cloud
Apr05-06,120,1,Moon/cloud
Apr05-06,130,1,Moon/cloud
Apr05-06,140,1,Moon/cloud
Apr05-06,150,1,Moon/cloud
Apr05-06,160,1,Moon/cloud
Apr05-06,170,1,Moon/cloud
Apr05-06,180,1,Moon/cloud
Apr05-06,190,1,Moon/cloud
Apr05-06,200,1,Moon/cloud
Apr05-06,210,1,Moon/cloud
Apr05-06,220,1,Moon/cloud
Apr05-06,230,1,Moon/cloud
Apr05-06,240,1,Moon/cloud
Apr05-06,250,1,Moon/cloud
Apr05-06,260,1,Moon/cloud
Apr05-06,270,1,Moon/cloud
Apr05-06,280,1,Moon/cloud
Apr05-06,290,1,Moon/cloud
Apr05-06,300,1,Moon/cloud
Apr05-06,310,1,Moon/cloud
Apr05-06,320,1,Moon/cloud
Apr05-06,330,1,Moon/cloud
Apr05-06,340,1,Moon/cloud
Apr05-06,350,1,Moon/cloud
Apr05-06,360,1,Moon/cloud
Apr05-06,370,1,Moon/cloud
Apr05-06,380,1,Moon/cloud
Apr05-06,390,1,Moon/cloud
Apr05-06,400,1,Moon/cloud
Apr05-06,410,1,Moon/cloud
Apr05-06,420,1,Moon/cloud
Apr05-06,430,1,Moon/cloud
Apr05-06,440,1,Moon/cloud
Apr05-06,450,1,Moon/cloud
Apr05-06,460,1,Moon/cloud
Apr05-06,470,1,Moon/cloud
Apr05-06,480,1,Moon/cloud
Apr05-06,490,1,Moon/cloud
Apr05-06,500,1,Moon/cloud
Apr05-06,510,1,Moon/cloud
Apr05-06,520,1,Moon/cloud
Apr05-06,530,1,Moon/cloud
Apr05-06,540,1,Moon/cloud
Apr05-06,550,1,Moon/cloud
Apr05-06,560,1,Moon/cloud
Apr05-06,570,1,Moon/cloud
Apr05-06,580,1,Moon/cloud
Apr05-06,590,1,Moon/cloud
Apr05-06,600,1,Moon/cloud
Apr05-06,610,1,Moon/cloud
Apr05-06,620,1,Moon/cloud
Apr05-06,630,1,Moon/cloud
Apr05-06,640,1,Moon/cloud
Apr05-06,650,1,Moon/cloud
Apr05-06,660,1,Moon/cloud
Apr05-06,670,1,Moon/cloud
Apr05-06,680,1,Moon/cloud
Apr05-06,690,1,Moon/cloud
Apr05-06,700,1,Moon/cloud
Apr05-06,710,1,Moon/cloud
Apr05-06,720,1,Moon/cloud
Apr05-06,730,1,Moon/cloud
Apr05-06,740,1,Moon/cloud
Apr05-06,750,1,Moon/cloud
Apr05-06,760,1,Moon/cloud
Apr05-06,770,1,Moon/cloud
Apr05-06,780,1,Moon/cloud
Apr05-06,790,1,Moon/cloud
Apr05-06,800,1,Moon/cloud
Apr05-06,810,1,Moon/cloud
Apr05-06,820,1,Moon/cloud
Apr05-06,830,1,Moon/cloud
Apr05-06,840,1,Moon/cloud
Apr05-06,850,1,Moon/cloud
Apr05-06,860,1,Moon/cloud
Apr05-06,870,1,Moon/cloud
Apr05-06,880,1,Moon/cloud
Apr05-06,890,1,Moon/cloud
Apr05-06,900,1,Moon/cloud
Apr05-06,910,1,Moon/cloud
Apr05-06,920,1,Moon/cloud
Apr05-06,930,1,Moon/cloud
Apr05-06,940,1,Moon/cloud
Apr05-06,950,1,Moon/cloud
Apr05-06,960,1,Moon/cloud
Apr05-06,970,1,Moon/cloud
Apr05-06,980,1,Moon/cloud
Apr05-06,990,1,Moon/cloud
Apr05-06,1000,1,Moon/cloud
Apr05-06,1010,1,Moon/cloud
Apr05-06,1020,1,Moon/cloud
Apr05-06,1030,1,Moon/cloud
Apr05-06,1040,1,Moon/cloud
Apr05-06,1050,1,Moon/cloud
Apr05-06,1060,1,Moon/cloud
Apr05-06,1070,1,Moon/cloud
Apr05-06,1080,1,Moon/cloud
Apr05-06,1090,1,Moon/cloud
Apr05-06,1100,1,Moon/cloud
Apr05-06,1110,1,Moon/cloud
Apr05-06,1120,1,Moon/cloud
Apr05-06,1130,1,Moon/cloud
Apr05-06,1140,1,Moon/cloud
Apr05-06,1150,1,Moon/cloud
Apr05-06,1160,1,Moon/cloud
Apr05-06,1170,1,Moon/cloud
Apr05-06,1180,1,Moon/cloud
Apr05-06,1190,1,Moon/cloud
Apr05-06,1200,1,Moon/cloud
Apr05-06,1210,1,Moon/cloud
Apr05-06,1220,1,Moon/cloud
Apr05-06,1230,1,Moon/cloud
Apr05-06,1240,1,Moon/cloud
Apr05-06,1250,1,Moon/cloud
Apr05-06,1260,1,Moon/cloud
Apr05-06,1270,1,Moon/cloud
Apr05-06,1280,1,Moon/cloud
Apr05-06,1290,1,Moon/cloud
Apr05-06,1300,1,Moon/cloud
Apr05-06,1310,1,Moon/cloud
Apr05-06,1320,1,Moon/cloud
Apr05-06,1330,1,Moon/cloud
Apr05-06,1340,1,Moon/cloud
Apr05-06,1350,1,Moon/cloud
Apr05-06,1360,1,Moon/cloud
Apr05-06,1370,1,Moon/cloud
Apr05-06,1380,1,Moon/cloud
Apr05-06,1390,1,Moon/cloud
Apr05-06,1400,1,Moon/cloud
Apr05-06,1410,1,Moon/cloud
Apr05-06,1420,1,Moon/cloud
Apr05-06,1430,1,Moon/cloud
Apr05-06,1440,1,Moon/cloud
Apr05-06,1450,1,Moon/cloud
Apr05-06,1460,1,Moon/cloud
Apr05-06,1470,1,Moon/cloud
Apr05-06,1480,1,Moon/cloud
Apr05-06,1490,1,Moon/cloud
Apr05-06,1500,1,Moon/cloud
Apr05-06,1510,1,Moon/cloud
Apr05-06,1520,1,Moon/cloud
Apr05-06,1530,1,Moon/cloud
Apr05-06,1540,1,Moon/cloud
Apr05-06,1550,1,Moon/cloud
Apr05-06,1560,1,Moon/cloud
Apr05-06,1570,1,Moon/cloud
Apr05-06,1580,1,Moon/cloud
Apr05-06,1590,1,Moon/cloud
Apr05-06,1600,1,Moon/cloud
Apr05-06,1610,1,Moon/cloud
Apr05-06,1620,1,Moon/cloud
Apr05-06,1630,1,Moon/cloud
Apr05-06,1640,1,Moon/cloud
Apr05-06,1650,1,Moon/cloud
Apr05-06,1660,1,Moon/cloud
Apr05-06,1670,1,Moon/cloud
Apr05-06,1680,1,Moon/cloud
Apr05-06,1690,1,Moon/cloud
Apr05-06,1700,1,Moon/cloud
Apr05-06,1710,1,Moon/cloud
Apr05-06,1720,1,Moon/cloud
Apr05-06,1730,1,Moon/cloud
Apr05-06,1740,1,Moon/cloud
Apr05-06,1750,1,Moon/cloud
Apr05-06,1760,1,Moon/cloud
Apr05-06,1770,1,Moon/cloud
Apr05-06,1780,1,Moon/cloud
Apr05-06,1790,1,Moon/cloud
Apr05-06,1800,1,Moon/cloud
Apr05-06,1810,1,Moon/cloud
Apr05-06,1820,1,Moon/cloud
Apr05-06,1830,1,Moon/cloud
Apr05-06,1840,1,Moon/cloud
Apr05-06,1850,1,Moon/cloud
Apr05-06,1860,1,Moon/cloud
Apr05-06,1870,1,Moon/cloud
Apr05-06,1880,1,Moon/cloud
Apr05-06,1890,1,Moon/cloud
Apr05-06,1900,1,Moon/cloud
Apr05-06,1910,1,Moon/cloud
Apr05-06,1920,1,Moon/cloud
Apr05-06,1930,1,Moon/cloud
Apr05-06,1940,1,Moon/cloud
Apr05-06,1950,1,Moon/cloud
Apr05-06,1960,1,Moon/cloud
Apr05-06,1970,1,Moon/cloud
Apr05-06,1980,1,Moon/cloud
Apr05-06,1990,1,Moon/cloud
Apr05-06,2000,1,Moon/cloud
Apr05-06,2010,1,Moon/cloud
Apr05-06,2020,1,Moon/cloud
Apr05-06,2030,1,Moon/cloud
Apr05-06,2040,1,Moon/cloud
Apr05-06,2050,1,Moon/cloud
Apr05-06,2060,1,Moon/cloud
Apr05-06,2070,1,Moon/cloud
Apr05-06,2080,1,Moon/cloud
Apr05-06,2090,1,Moon/cloud
Apr05-06,2100,1,Moon/cloud
Apr05-06,2110,1,Moon/cloud
Apr05-06,2120,1,Moon/cloud
Apr05-06,2130,1,Moon/cloud
Apr05-06,2140,1,Moon/cloud
Apr05-06,2150,1,Moon/cloud
Apr05-06,2160,1,Moon/cloud
Apr05-06,2170,1,Moon/cloud
Apr05-06,2180,1,Moon/cloud
Apr05-06,2190,1,Moon/cloud
Apr05-06,2200,1,Moon/cloud
Apr05-06,2210,1,Moon/cloud
Apr05-06,2220,1,Moon/cloud
Apr05-06,2230,1,Moon/cloud
Apr05-06,2240,1,Moon/cloud
Apr05-06,2250,1,Moon/cloud
Apr05-06,2260,1,Moon/cloud
Apr05-06,2270,1,Moon/cloud
Apr05-06,2280,1,Moon/cloud
Apr05-06,2290,1,Moon/cloud
Apr05-06,2300,1,Moon/cloud
Apr05-06,2310,1,Moon/cloud
Apr05-06,2320,1,Moon/cloud
Apr05-06,2330,1,Moon/cloud
Apr05-06,2340,1,Moon/cloud
Apr05-06,2350,1,Moon/cloud
Apr05-06,2360,1,Moon/cloud
Apr05-06,2370,1,Moon/cloud
Apr05-06,2380,1,Moon/cloud
Apr05-06,2390,1,Moon/cloud
Apr05-06,2400,1,Moon/cloud
Apr05-06,2410,1,Moon/cloud
Apr05-06,2420,1,Moon/cloud
Apr05-06,2430,1,Moon/cloud
Apr05-06,2440,1,Moon/cloud
Apr05-06,2450,1,Moon/cloud
Apr05-06,2460,1,Moon/cloud
Apr05-06,2470,1,Moon/cloud
Apr05-06,2480,1,Moon/cloud
Apr05-06,2490,1,Moon/cloud
Apr05-06,2500,1,Moon/cloud
Apr05-06,2510,1,Moon/cloud
Apr05-06,2520,1,Moon/cloud
Apr05-06,2530,1,Moon/cloud
Apr05-06,2540,1,Moon/cloud
Apr05-06,2550,1,Moon/cloud
Apr05-06,2560,1,Moon/cloud
Apr05-06,2570,1,Moon/cloud
Apr05-06,2580,1,Moon/cloud
Apr05-06,2590,1,Moon/cloud
Apr05-06,2600,1,Moon/cloud
Apr05-06,2610,1,Moon/cloud
Apr05-06,2620,1,Moon/cloud
Apr05-06,2630,1,Moon/cloud
Apr05-06,2640,1,Moon/cloud
Apr05-06,2650,1,Moon/cloud
Apr05-06,2660,1,Moon/cloud
Apr05-06,2670,1,Moon/cloud
Apr05-06,2680,1,Moon/cloud
Apr05-06,2690,1,Moon/cloud
Apr05-06,2700,1,Moon/cloud
Apr05-06,2710,1,Moon/cloud
Apr05-06,2720,1,Moon/cloud
Apr05-06,2730,1,Moon/cloud
Apr05-06,2740,1,Moon/cloud
Apr05-06,2750,1,Moon/cloud
Apr05-06,2760,1,Moon/cloud
Apr05-06,2770,1,Moon/cloud
Apr05-06,2780,1,Moon/cloud
Apr05-06,2790,1,Moon/cloud
Apr05-06,2800,1,Moon/cloud
Apr05-06,2810,1,Moon/cloud
Apr05-06,2820,1,Moon/cloud
Apr05-06,2830,1,Moon/cloud
Apr05-06,2840,1,Moon/cloud
Apr05-06,2850,1,Moon/cloud
Apr05-06,2860,1,Moon/cloud
Apr05-06,2870,1,Moon/cloud
Apr05-06,2880,1,Moon/cloud
Apr05-06,2890,1,Moon/cloud
Apr05-06,2900,1,Moon/cloud
Apr05-06,2910,1,Moon/cloud
Apr05-06,2920,1,Moon/cloud
Apr05-06,2930,1,Moon/cloud
Apr05-06,2940,1,Moon/cloud
Apr05-06,2950,1,Moon/cloud
Apr05-06,2960,1,Moon/cloud
Apr05-06,2970,1,Moon/cloud
Apr05-06,2980,1,Moon/cloud
Apr05-06,2990,1,Moon/cloud
Apr05-06,3000,1,Moon/cloud
