Date,Frame,Class2,Condition
Apr01-02,0,1,Twilight
Apr01-02,5,1,Twilight
Apr01-02,10,1,Twilight
Apr01-02,15,1,Twilight
Apr01-02,20,1,Twilight
Apr01-02,25,1,Twilight
Apr01-02,30,1,Twilight
Apr01-02,35,1,Twilight
Apr01-02,40,1,Twilight
Apr01-02,45,1,Twilight
Apr01-02,50,1,Twilight
Apr01-02,55,1,Twilight
Apr01-02,60,1,Twilight
Apr01-02,65,1,Twilight
Apr01-02,70,1,Twilight
Apr01-02,75,1,Twilight
Apr01-02,80,1,Twilight
Apr01-02,85,1,Twilight
Apr01-02,90,1,Twilight
Apr01-02,95,1,Twilight
Apr01-02,100,1,Twilight
Apr01-02,105,1,Twilight
Apr01-02,110,1,Twilight
Apr01-02,115,1,Twilight
Apr01-02,120,1,Twilight
Apr01-02,125,1,Twilight
Apr01-02,130,1,Twilight
Apr01-02,135,1,Twilight
Apr01-02,140,1,Twilight
Apr01-02,145,1,Twilight
Apr01-02,150,1,Twilight
Apr01-02,155,1,Twilight
Apr01-02,160,1,Twilight
Apr01-02,165,1,Twilight
Apr01-02,170,1,Twilight
Apr01-02,175,1,Twilight
Apr01-02,180,1,Twilight
Apr01-02,185,1,Twilight
Apr01-02,190,1,Twilight
Apr01-02,195,1,Twilight
Apr01-02,200,1,Twilight
Apr01-02,205,1,Twilight
Apr01-02,210,1,Twilight
Apr01-02,215,1,Twilight
Apr01-02,220,1,Twilight
Apr01-02,225,1,Twilight
Apr01-02,230,1,Twilight
Apr01-02,235,1,Twilight
Apr01-02,240,1,Twilight
Apr01-02,245,1,Twilight
Apr01-02,250,1,Twilight
Apr01-02,255,1,Twilight
Apr01-02,260,1,Twilight
Apr01-02,265,1,Twilight
Apr01-02,270,1,Twilight
Apr01-02,275,1,Twilight
Apr01-02,280,1,Twilight
Apr01-02,285,1,Twilight
Apr01-02,290,1,Twilight
Apr01-02,295,1,Twilight
Apr01-02,300,1,Twilight
Apr01-02,305,1,Twilight
Apr01-02,310,1,Twilight
Apr01-02,315,1,Twilight
Apr01-02,320,1,Twilight
Apr01-02,325,1,Twilight
Apr01-02,330,1,Twilight
Apr01-02,335,1,Twilight
Apr01-02,340,1,Twilight
Apr01-02,345,1,Twilight
Apr01-02,350,1,Twilight
Apr01-02,355,1,Twilight
Apr01-02,360,1,Twilight
Apr01-02,365,1,Twilight
Apr01-02,370,1,Twilight
Apr01-02,375,1,Twilight
Apr01-02,380,1,Twilight
Apr01-02,385,1,Twilight
Apr01-02,390,1,Twilight
Apr01-02,395,1,Twilight
Apr01-02,400,1,Twilight
Apr01-02,405,1,Twilight
Apr01-02,410,1,Twilight
Apr01-02,415,1,Twilight
Apr01-02,420,1,Twilight
Apr01-02,425,1,Twilight
Apr01-02,430,1,Twilight
Apr01-02,435,1,Twilight
Apr01-02,440,1,Twilight
Apr01-02,445,1,Twilight
Apr01-02,450,1,Twilight
Apr01-02,455,1,Twilight
Apr01-02,460,1,Twilight
Apr01-02,465,1,Twilight
Apr01-02,470,1,Twilight
Apr01-02,475,1,Twilight
Apr01-02,480,1,Twilight
Apr01-02,485,1,Twilight
Apr01-02,490,1,Twilight
Apr01-02,495,1,Twilight
Apr01-02,500,1,Twilight
Apr01-02,505,1,Twilight
Apr01-02,510,1,Twilight
Apr01-02,515,1,Twilight
Apr01-02,520,1,Twilight
Apr01-02,525,1,Twilight
Apr01-02,530,1,Twilight
Apr01-02,535,1,Twilight
Apr01-02,540,1,Twilight
Apr01-02,545,1,Twilight
Apr01-02,550,1,Twilight
Apr01-02,555,1,Twilight
Apr01-02,560,1,Twilight
Apr01-02,565,1,Twilight
Apr01-02,570,1,Twilight
Apr01-02,575,1,Twilight
Apr01-02,580,1,Twilight
Apr01-02,585,1,Twilight
Apr01-02,590,1,Twilight
Apr01-02,595,1,Twilight
Apr01-02,600,1,Twilight
Apr01-02,605,1,Twilight
Apr01-02,610,1,Twilight
Apr01-02,615,1,Twilight
Apr01-02,620,1,Twilight
Apr01-02,625,1,Twilight
Apr01-02,630,1,Twilight
Apr01-02,635,1,Twilight
Apr01-02,640,1,Twilight
Apr01-02,645,1,Twilight
Apr01-02,650,1,Twilight
Apr01-02,655,1,Twilight
Apr01-02,660,1,Twilight
Apr01-02,665,1,Twilight
Apr01-02,670,1,Twilight
Apr01-02,675,1,Twilight
Apr01-02,680,1,Twilight
Apr01-02,685,1,Twilight
Apr01-02,690,1,Twilight
Apr01-02,695,1,Twilight
Apr01-02,700,1,Twilight
Apr01-02,705,1,Twilight
Apr01-02,710,1,Twilight
Apr01-02,715,1,Twilight
Apr01-02,720,1,Twilight
Apr01-02,725,1,Twilight
Apr01-02,730,1,Twilight
Apr01-02,735,1,Twilight
Apr01-02,740,1,Twilight
Apr01-02,745,1,Twilight
Apr01-02,750,1,Twilight
Apr01-02,755,1,Twilight
Apr01-02,760,1,Twilight
Apr01-02,765,1,Twilight
Apr01-02,770,1,Twilight
Apr01-02,775,1,Twilight
Apr01-02,780,1,Twilight
Apr01-02,785,1,Twilight
Apr01-02,790,1,Twilight
Apr01-02,795,1,Twilight
Apr01-02,800,1,Twilight
Apr01-02,805,1,Twilight
Apr01-02,810,1,Twilight
Apr01-02,815,1,Twilight
Apr01-02,820,1,Twilight
Apr01-02,825,1,Twilight
Apr01-02,830,1,Twilight
Apr01-02,835,1,Twilight
Apr01-02,840,1,Twilight
Apr01-02,845,1,Twilight
Apr01-02,850,1,Twilight
Apr01-02,855,1,Twilight
Apr01-02,860,1,Twilight
Apr01-02,865,1,Twilight
Apr01-02,870,1,Twilight
